mcc	acc	f1	f1_weighted	precision	recall	auroc	tp	tn	fp	fn	name	variables	representation	fold	run
0.5310942541196776	0.7612293144208038	0.7651162790697674	0.7609303171401143	0.7121212121212122	0.8266331658291457	0.8456260095118449	329	315	69	133	lightgbm	{'n_estimators': 300, 'class_weight': 'balanced', 'num_leaves': 17, 'max_depth': 7, 'subsample': 0.5174296604953676, 'colsample_bytree': 0.6859498882502868, 'min_split_gain': 2.75900887283193e-07, 'reg_alpha': 8.539111123611211e-05, 'learning_rate': 0.00034251355413930163, 'verbose': -1, 'n_jobs': 10}	ecfp-8-1024	4	7
-0.01945676552825474	0.4935064935064935	0.44787644787644787	0.49256105090347185	0.45910290237467016	0.4371859296482412	0.5016563888484741	174	244	224	205	lightgbm	{'n_estimators': 304, 'class_weight': 'balanced', 'num_leaves': 248, 'max_depth': 5, 'subsample': 0.5669987486899346, 'colsample_bytree': 0.6142367135459146, 'min_split_gain': 6.639048351454483e-09, 'reg_alpha': 6.154037141497959e-07, 'learning_rate': 0.0006868388614822673, 'verbose': -1, 'n_jobs': 10}	chemberta-2	0	8
-0.03622448213273933	0.4781582054309327	0.49772727272727274	0.4761868743273702	0.4553014553014553	0.5488721804511278	0.4752506265664161	219	186	180	262	lightgbm	{'n_estimators': 304, 'class_weight': 'balanced', 'num_leaves': 248, 'max_depth': 5, 'subsample': 0.5669987486899346, 'colsample_bytree': 0.6142367135459146, 'min_split_gain': 6.639048351454483e-09, 'reg_alpha': 6.154037141497959e-07, 'learning_rate': 0.0006868388614822673, 'verbose': -1, 'n_jobs': 10}	chemberta-2	1	8
-0.04165205447380397	0.4852420306965762	0.41081081081081083	0.48071686219199083	0.44574780058651026	0.38095238095238093	0.4824673290368779	152	259	247	189	lightgbm	{'n_estimators': 304, 'class_weight': 'balanced', 'num_leaves': 248, 'max_depth': 5, 'subsample': 0.5669987486899346, 'colsample_bytree': 0.6142367135459146, 'min_split_gain': 6.639048351454483e-09, 'reg_alpha': 6.154037141497959e-07, 'learning_rate': 0.0006868388614822673, 'verbose': -1, 'n_jobs': 10}	chemberta-2	2	8
-0.02600329055454022	0.48760330578512395	0.4668304668304668	0.48798099376611775	0.4578313253012048	0.47619047619047616	0.4967552810597924	190	223	209	225	lightgbm	{'n_estimators': 304, 'class_weight': 'balanced', 'num_leaves': 248, 'max_depth': 5, 'subsample': 0.5669987486899346, 'colsample_bytree': 0.6142367135459146, 'min_split_gain': 6.639048351454483e-09, 'reg_alpha': 6.154037141497959e-07, 'learning_rate': 0.0006868388614822673, 'verbose': -1, 'n_jobs': 10}	chemberta-2	3	8
-0.04517209547770121	0.4728132387706856	0.5	0.46955082742316784	0.451417004048583	0.5603015075376885	0.47633816403445794	223	177	175	271	lightgbm	{'n_estimators': 304, 'class_weight': 'balanced', 'num_leaves': 248, 'max_depth': 5, 'subsample': 0.5669987486899346, 'colsample_bytree': 0.6142367135459146, 'min_split_gain': 6.639048351454483e-09, 'reg_alpha': 6.154037141497959e-07, 'learning_rate': 0.0006868388614822673, 'verbose': -1, 'n_jobs': 10}	chemberta-2	4	8
0.6103316130910984	0.8016528925619835	0.8028169014084507	0.8015754762966603	0.7533039647577092	0.8592964824120602	0.8880650468377522	342	337	56	112	knn	{'n_neighbors': 56, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 23, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	0	9
0.6139620290971833	0.8028335301062574	0.8055878928987195	0.8026323131836942	0.7521739130434782	0.8671679197994987	0.8766111707841031	346	334	53	114	knn	{'n_neighbors': 56, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 23, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	1	9
0.567677381475715	0.7780401416765053	0.7844036697247706	0.7774672693217953	0.7230443974630021	0.8571428571428571	0.860202962764053	342	317	57	131	knn	{'n_neighbors': 56, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 23, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	2	9
0.6308489940156459	0.8110979929161747	0.813953488372093	0.8108857138774852	0.7592190889370932	0.8771929824561403	0.8952571160042964	350	337	49	111	knn	{'n_neighbors': 56, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 23, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	3	9
0.5887209837659921	0.789598108747045	0.7935034802784223	0.7892875611312969	0.7370689655172413	0.8592964824120602	0.8729529343144292	342	326	56	122	knn	{'n_neighbors': 56, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 23, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	4	9
0.5743608643508397	0.7804014167650531	0.7876712328767124	0.7796904323042552	0.7217573221757322	0.8668341708542714	0.8734933016977986	345	316	53	133	knn	{'n_neighbors': 87, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 19, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	0	10
0.5962561054859341	0.7922077922077922	0.7981651376146789	0.7916714861735957	0.7357293868921776	0.8721804511278195	0.8658280746509129	348	323	51	125	knn	{'n_neighbors': 87, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 19, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	1	10
0.5449574765947196	0.7626918536009445	0.7759197324414716	0.761048741925647	0.6987951807228916	0.8721804511278195	0.8506198532044397	348	298	51	150	knn	{'n_neighbors': 87, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 19, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	2	10
0.6240600314532461	0.8051948051948052	0.8118586088939567	0.8045504471871762	0.7447698744769874	0.8922305764411027	0.8821439760114572	356	326	43	122	knn	{'n_neighbors': 87, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 19, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	3	10
0.5532513598451195	0.7683215130023641	0.7787810383747178	0.7671535759260467	0.7069672131147541	0.8668341708542714	0.8652610148959081	345	305	53	143	knn	{'n_neighbors': 87, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 19, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	ecfp-8-1024	4	10
0.6188526591124375	0.807556080283353	0.8052568697729988	0.807666077518971	0.7676537585421412	0.8467336683417085	0.8856420185560319	337	347	61	102	rf	{'n_estimators': 544, 'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.00089441708017185, 'n_jobs': 10}	ecfp-8-1024	0	11
0.6265682268047293	0.8122786304604487	0.8082026537997588	0.8124247059245889	0.7790697674418605	0.8395989974937343	0.8901438865019692	335	353	64	95	rf	{'n_estimators': 544, 'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.00089441708017185, 'n_jobs': 10}	ecfp-8-1024	1	11
0.5942576238271468	0.79456906729634	0.7943262411347518	0.794582812173411	0.7516778523489933	0.8421052631578947	0.8689413265306123	336	337	63	111	rf	{'n_estimators': 544, 'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.00089441708017185, 'n_jobs': 10}	ecfp-8-1024	2	11
0.635638200263848	0.8158205430932703	0.8142857142857143	0.8158960264772485	0.7755102040816326	0.8571428571428571	0.8954752953813104	342	349	57	99	rf	{'n_estimators': 544, 'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.00089441708017185, 'n_jobs': 10}	ecfp-8-1024	3	11
0.6421145408814698	0.8191489361702128	0.8172043010752689	0.8192421876776895	0.7790432801822323	0.8592964824120602	0.8754823223259152	342	351	56	97	rf	{'n_estimators': 544, 'max_depth': 17, 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.00089441708017185, 'n_jobs': 10}	ecfp-8-1024	4	11
0.6153550146829587	0.8051948051948052	0.8042704626334519	0.8052458558415545	0.7617977528089888	0.8517587939698492	0.8863079316403846	339	343	59	106	rf	{'n_estimators': 565, 'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0009283880960983922, 'n_jobs': 10}	ecfp-8-1024	0	12
0.6240449826436514	0.8110979929161747	0.8067632850241546	0.8112481560071223	0.7785547785547785	0.8370927318295739	0.8888963480128894	334	353	65	95	rf	{'n_estimators': 565, 'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0009283880960983922, 'n_jobs': 10}	ecfp-8-1024	1	12
0.5908566448264817	0.7933884297520661	0.7919143876337693	0.793462736681828	0.753393665158371	0.8345864661654135	0.8662224758324383	333	339	66	109	rf	{'n_estimators': 565, 'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0009283880960983922, 'n_jobs': 10}	ecfp-8-1024	2	12
0.6203116159026405	0.8087367178276269	0.8057553956834532	0.8088615173592435	0.7724137931034483	0.8421052631578947	0.8961633995703545	336	349	63	99	rf	{'n_estimators': 565, 'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0009283880960983922, 'n_jobs': 10}	ecfp-8-1024	3	12
0.6318766601581787	0.8144208037825059	0.8115246098439376	0.8145455525318972	0.7770114942528735	0.8492462311557789	0.8746803212491026	338	351	60	97	rf	{'n_estimators': 565, 'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0009283880960983922, 'n_jobs': 10}	ecfp-8-1024	4	12
0.6192518264761344	0.807556080283353	0.8057210965435042	0.8076483660152988	0.7664399092970522	0.8492462311557789	0.8928607402267462	338	346	60	103	rf	{'n_estimators': 380, 'max_depth': 26, 'min_samples_split': 14, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0004781848890476023, 'n_jobs': 10}	ecfp-8-1024	0	13
0.6290951492032218	0.8134592680047226	0.8096385542168675	0.8136007759227912	0.7795823665893271	0.8421052631578947	0.8924935105621196	336	353	63	95	rf	{'n_estimators': 380, 'max_depth': 26, 'min_samples_split': 14, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0004781848890476023, 'n_jobs': 10}	ecfp-8-1024	1	13
0.6084709411790117	0.8016528925619835	0.8014184397163121	0.8016661634777763	0.7583892617449665	0.849624060150376	0.8719734604368063	339	340	60	108	rf	{'n_estimators': 380, 'max_depth': 26, 'min_samples_split': 14, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 0.0004781848890476023, 'n_jobs': 10}	ecfp-8-1024	2	13
